12.09.;Datenerhebung Louisa;;;
from;to;relationship;year;
etsuofthspmi100;migo200;1;2004;
etsuofthspmi100;jobr300;1;2004;
migo200;jobr300;2;2004;
thap100;adde300;1;1960;
thap100;biwi200;1;1960;
biwi200;adde300;2;1960;
laofar100;dale200;1;1962;
laofar100;maja300;1;1962;
dale200;maja300;2;1962;
he100;mima200;1;1995;
he100;elgo300;1;1995;
mima200;elgo300;2;1995;
sc100;brdepa200;1;1983;
sc100;gimo300;1;1983;
brdepa200;gimo300;2;1983;
redo100;quta200;1;1992;
20aspod100;gyli300;1;1968;
20aspod100;stku200;1;1968;
stku200;gyli300;2;1968;
up100;pedo200;1;2009;
up100;migi300;1;2009;
pedo200;migi300;2;2009;
doin100;miro300;1;1944;
doin100;biwi200;1;1944;
biwi200;miro300;2;1944;
listonea100;aakh200;1;2007;
listonea100;shma300;1;2007;
listonea100;ehno300;1;2007;
listonea100;lome300;1;2007;
aakh200;shma300;2;2007;
aakh200;ehno300;2;2007;
aakh200;lome300;2;2007;
nobyno100;alhi200;1;1959;
nobyno100;behe300;1;1959;
alhi200;behe300;2;1959;
fumeja100;abme300;1;1987;
fumeja100;stku200;1;1987;
stku200;abme300;2;1987;
m100;frla200;1;1931;
m100;gohu300;1;1931;
frla200;gohu300;2;1931;
ase100;asfa200;1;2011;
ase100;saor300;1;2011;
asfa200;saor300;2;2011;
amli100;jepije200;1;2001;
amli100;yati300;1;2001;
jepije200;yati300;2;2001;
cika100;orwe200;1;1941;
cika100;behe300;1;1941;
orwe200;behe300;2;1941;
ve100;alhi200;1;1958;
ve100;behe300;1;1958;
alhi200;behe300;2;1958;
diha100;jomc200;1;1988;
diha100;mika300;1;1988;
jomc200;mika300;2;1988;
atontithlaat100;yuha200;1;2024;
atontithlaat100;hisa300;1;2024;
yuha200;hisa300;2;2024;
tokiamo100;romu200;1;1962;
tokiamo100;elbe300;1;1962;
romu200;elbe300;2;1962;
injoanthlacr100;stsp200;1;1989;
injoanthlacr100;jowi300;1;1989;
stsp200;jowi300;2;1989;
thcuofthwe100;jogav200;1;2025;
thcuofthwe100;bico300;1;2025;
jogav200;bico300;2;2025;
thst100;gerohi200;1;1973;
thst100;maha300;1;1973;
gerohi200;maha300;2;1973;
aclor100;stku200;1;1971;
aclor100;weca300;1;1971;
stku200;weca300;2;1971;
me2100;frla200;1;1927;
me2100;gohu300;1;1927;
frla200;gohu300;2;1927;
19100;same200;1;2019;
19100;thne300;1;2019;
same200;thne300;2;2019;
sn100;guri200;1;2000;
sn100;jomu300;1;2000;
guri200;jomu300;2;2000;
thwoofwast100;masco200;1;2013;
thtrsh100;pewe200;1;1998;
thtrsh100;buda300;1;1998;
pewe200;buda300;2;1998;
do100;olhi200;1;2004;
do100;stle300;1;2004;
olhi200;stle300;2;2004;
laco100;cuha200;1;1997;
laco100;jego300;1;1997;
cuha200;jego300;2;1997;
shis100;masco200;1;2010;
shis100;roro300;1;2010;
masco200;roro300;2;2010;
da100;niti200;1;2016;
da100;prch300;1;2016;
niti200;prch300;2;2016;
grbo100;pefa200;1;2018;
grbo100;krbo300;1;2018;
pefa200;krbo300;2;2018;
bith100;videsi200;1;1948;
bith100;alci300;1;1948;
videsi200;alci300;2;1948;
juatnu100;stkr200;1;1961;
juatnu100;ergo300;1;1961;
stkr200;ergo300;2;1961;
op100;chno200;1;2023;
op100;lugo300;1;2023;
chno200;lugo300;2;2023;
babe100;chno200;1;2005;
babe100;hazi300;1;2005;
babe100;janeho300;1;2005;
chno200;hazi300;2;2005;
chno200;janeho300;2;2005;
jupa100;stsp200;1;1993;
jupa100;jowi300;1;1993;
stsp200;jowi300;2;1993;
foafedomo100;sele200;1;1965;
foafedomo100;enmo300;1;1965;
sele200;enmo300;2;1965;
ha2100;thka200;1;2020;
ha2100;limami300;1;2020;
thka200;limami300;2;2020;
tadr100;masco200;1;1976;
tadr100;behe300;1;1976;
masco200;behe300;2;1976;
soliitho100;biwi200;1;1959;
soliitho100;adde300;1;1959;
biwi200;adde300;2;1959;
thwibebl100;pathan200;1;2007;
thwibebl100;jogr300;1;2007;
pathan200;jogr300;2;2007;
thfa100;flze200;1;2020;
thfa100;luei300;1;2020;
flze200;luei300;2;2020;
thki100;chch200;1;1921;
alabev100;jolma200;1;1950;
alabev100;alne300;1;1950;
jolma200;alne300;2;1950;
thsise100;mnish200;1;1999;
thsise100;janeho300;1;1999;
mnish200;janeho300;2;1999;
ra100;akku200;1;1985;
ra100;truta300;1;1985;
akku200;truta300;2;1985;
ca3100;masco200;1;1995;
thth100;joca200;1;1982;
thth100;enmo300;1;1982;
joca200;enmo300;2;1982;
nocofoolme100;etco200;1;2007;
nocofoolme100;joco200;1;2007;
nocofoolme100;cabu300;1;2007;
etco200;cabu300;2;2007;
joco200;cabu300;2;2007;
prhama100;phlo200;1;2026;
prhama100;chmi200;1;2026;
prhama100;dape300;1;2026;
phlo200;dape300;2;2026;
chmi200;dape300;2;2026;
pr100;jojo300;1;2013;
pr100;devi200;1;2013;
devi200;jojo300;2;2013;
toguma100;joko200;1;2022;
toguma100;hafa300;1;2022;
joko200;hafa300;2;2022;
kibivo1100;quta200;1;2003;
kibivo1100;rz300;1;2003;
quta200;rz300;2;2003;
pasla100;gudeto200;1;2006;
pasla100;jana300;1;2006;
gudeto200;jana300;2;2006;
un100;clea200;1;1992;
un100;leni300;1;1992;
clea200;leni300;2;1992;
abemi100;roho200;1;2001;
abemi100;jaho300;1;2001;
roho200;jaho300;2;2001;
hosmoca100;hami200;1;2004;
hosmoca100;johi300;1;2004;
hami200;johi300;2;2004;
thtrofthsima100;johu200;1;1948;
thtrofthsima100;mast300;1;1948;
johu200;mast300;2;1948;
fine100;anst200;1;2003;
fine100;thne300;1;2003;
anst200;thne300;2;2003;
kl100;sepa200;1;2019;
kl100;algag300;1;2019;
sepa200;algag300;2;2019;
yo100;masa300;1;1961;
yo100;akku200;1;1961;
akku200;masa300;2;1961;
deslkinoyath100;haso200;1;2025;
deslkinoyath100;gosh300;1;2025;
deslkinoyath100;yuka300;1;2025;
haso200;gosh300;2;2025;
haso200;yuka300;2;2025;
thelma100;daly200;1;1980;
thelma100;jomo300;1;1980;
daly200;jomo300;2;1980;
thgres100;jost200;1;1963;
thgres100;elbe300;1;1963;
jost200;elbe300;2;1963;
mopyanthhogr100;tejo200;1;1975;
mopyanthhogr100;tegi200;1;1975;
mopyanthhogr100;nein300;1;1975;
tejo200;nein300;2;1975;
tegi200;nein300;2;1975;
dimfomu100;alhi200;1;1954;
dimfomu100;diti300;1;1954;
alhi200;diti300;2;1954;
